"Date","Price","Open","High","Low","Vol.","Change %"
"22/06/2023","1,103.00","1,103.00","1,103.00","1,103.00","","-3.33%"
"21/06/2023","1,141.00","1,141.00","1,141.00","1,141.00","","-3.39%"
"20/06/2023","1,181.00","1,181.00","1,181.00","1,181.00","","-0.25%"
"19/06/2023","1,184.00","1,184.00","1,184.00","1,184.00","","0.77%"
"16/06/2023","1,175.00","1,175.00","1,175.00","1,175.00","","2.35%"
"15/06/2023","1,148.00","1,148.00","1,148.00","1,148.00","","0.70%"
"14/06/2023","1,140.00","1,140.00","1,140.00","1,140.00","","2.61%"
"13/06/2023","1,111.00","1,111.00","1,111.00","1,111.00","","2.30%"
"12/06/2023","1,086.00","1,086.00","1,086.00","1,086.00","","3.53%"
"09/06/2023","1,049.00","1,049.00","1,049.00","1,049.00","","0.96%"
"08/06/2023","1,039.00","1,039.00","1,039.00","1,039.00","","0.00%"
"07/06/2023","1,039.00","1,039.00","1,039.00","1,039.00","","0.29%"
"06/06/2023","1,036.00","1,036.00","1,036.00","1,036.00","","-0.48%"
"05/06/2023","1,041.00","1,041.00","1,041.00","1,041.00","","-2.53%"
"02/06/2023","1,068.00","1,068.00","1,068.00","1,068.00","","-2.11%"
"01/06/2023","1,091.00","1,091.00","1,091.00","1,091.00","","-1.27%"
"31/05/2023","1,105.00","1,105.00","1,105.00","1,105.00","","-1.69%"
"30/05/2023","1,124.00","1,124.00","1,124.00","1,124.00","","-2.77%"
"26/05/2023","1,156.00","1,156.00","1,156.00","1,156.00","","-6.62%"
"25/05/2023","1,238.00","1,238.00","1,238.00","1,238.00","","-1.51%"
"24/05/2023","1,257.00","1,257.00","1,257.00","1,257.00","","-0.87%"
"23/05/2023","1,268.00","1,268.00","1,268.00","1,268.00","","-0.63%"
"22/05/2023","1,276.00","1,276.00","1,276.00","1,276.00","","-2.30%"
"19/05/2023","1,306.00","1,306.00","1,306.00","1,306.00","","-0.46%"
"18/05/2023","1,312.00","1,312.00","1,312.00","1,312.00","","-0.46%"
"17/05/2023","1,318.00","1,318.00","1,318.00","1,318.00","","1.46%"
"16/05/2023","1,299.00","1,299.00","1,299.00","1,299.00","","1.48%"
"15/05/2023","1,280.00","1,280.00","1,280.00","1,280.00","","2.24%"
"12/05/2023","1,252.00","1,252.00","1,252.00","1,252.00","","2.79%"
"11/05/2023","1,218.00","1,218.00","1,218.00","1,218.00","","5.09%"
"10/05/2023","1,159.00","1,159.00","1,159.00","1,159.00","","7.31%"
"09/05/2023","1,080.00","1,080.00","1,080.00","1,080.00","","0.75%"
"05/05/2023","1,072.00","1,072.00","1,072.00","1,072.00","","-0.46%"
"04/05/2023","1,077.00","1,077.00","1,077.00","1,077.00","","1.51%"
"03/05/2023","1,061.00","1,061.00","1,061.00","1,061.00","","2.71%"
"02/05/2023","1,033.00","1,033.00","1,033.00","1,033.00","","-1.24%"
"28/04/2023","1,046.00","1,046.00","1,046.00","1,046.00","","-0.66%"
"27/04/2023","1,053.00","1,053.00","1,053.00","1,053.00","","-1.40%"
"26/04/2023","1,068.00","1,068.00","1,068.00","1,068.00","","-4.47%"
"25/04/2023","1,118.00","1,118.00","1,118.00","1,118.00","","-1.67%"
"24/04/2023","1,137.00","1,137.00","1,137.00","1,137.00","","-0.79%"
"21/04/2023","1,146.00","1,146.00","1,146.00","1,146.00","","0.00%"
"20/04/2023","1,146.00","1,146.00","1,146.00","1,146.00","","-2.39%"
"19/04/2023","1,174.00","1,174.00","1,174.00","1,174.00","","-1.92%"
"18/04/2023","1,197.00","1,197.00","1,197.00","1,197.00","","-1.80%"
"17/04/2023","1,219.00","1,219.00","1,219.00","1,219.00","","-1.85%"
"14/04/2023","1,242.00","1,242.00","1,242.00","1,242.00","","-1.11%"
"13/04/2023","1,256.00","1,256.00","1,256.00","1,256.00","","-1.57%"
"12/04/2023","1,276.00","1,276.00","1,276.00","1,276.00","","-1.47%"
"11/04/2023","1,295.00","1,295.00","1,295.00","1,295.00","","-1.82%"
"06/04/2023","1,319.00","1,319.00","1,319.00","1,319.00","","-0.98%"
"05/04/2023","1,332.00","1,332.00","1,332.00","1,332.00","","-0.15%"
"04/04/2023","1,334.00","1,334.00","1,334.00","1,334.00","","-2.13%"
"03/04/2023","1,363.00","1,363.00","1,363.00","1,363.00","","-4.55%"
"31/03/2023","1,428.00","1,428.00","1,428.00","1,428.00","","-3.58%"
"30/03/2023","1,481.00","1,481.00","1,481.00","1,481.00","","-1.79%"
"29/03/2023","1,508.00","1,508.00","1,508.00","1,508.00","","-2.39%"
"28/03/2023","1,545.00","1,545.00","1,545.00","1,545.00","","-2.65%"
"27/03/2023","1,587.00","1,587.00","1,587.00","1,587.00","","-2.16%"
"24/03/2023","1,622.00","1,622.00","1,622.00","1,622.00","","-1.22%"
"23/03/2023","1,642.00","1,642.00","1,642.00","1,642.00","","-0.36%"
"22/03/2023","1,648.00","1,648.00","1,648.00","1,648.00","","0.37%"
"21/03/2023","1,642.00","1,642.00","1,642.00","1,642.00","","1.92%"
"20/03/2023","1,611.00","1,611.00","1,611.00","1,611.00","","2.03%"
"17/03/2023","1,579.00","1,579.00","1,579.00","1,579.00","","2.47%"
"16/03/2023","1,541.00","1,541.00","1,541.00","1,541.00","","1.65%"
"15/03/2023","1,516.00","1,516.00","1,516.00","1,516.00","","2.43%"
"14/03/2023","1,480.00","1,480.00","1,480.00","1,480.00","","0.14%"
"13/03/2023","1,478.00","1,478.00","1,478.00","1,478.00","","-0.61%"
"10/03/2023","1,487.00","1,487.00","1,487.00","1,487.00","","-1.59%"
"09/03/2023","1,511.00","1,511.00","1,511.00","1,511.00","","1.07%"
"08/03/2023","1,495.00","1,495.00","1,495.00","1,495.00","","0.54%"
"07/03/2023","1,487.00","1,487.00","1,487.00","1,487.00","","0.13%"
"06/03/2023","1,485.00","1,485.00","1,485.00","1,485.00","","0.13%"
"03/03/2023","1,483.00","1,483.00","1,483.00","1,483.00","","0.75%"
"02/03/2023","1,472.00","1,472.00","1,472.00","1,472.00","","1.17%"
"01/03/2023","1,455.00","1,455.00","1,455.00","1,455.00","","2.90%"
"28/02/2023","1,414.00","1,414.00","1,414.00","1,414.00","","3.74%"
"27/02/2023","1,363.00","1,363.00","1,363.00","1,363.00","","1.87%"
"24/02/2023","1,338.00","1,338.00","1,338.00","1,338.00","","1.06%"
"23/02/2023","1,324.00","1,324.00","1,324.00","1,324.00","","1.53%"
"22/02/2023","1,304.00","1,304.00","1,304.00","1,304.00","","-0.15%"
"21/02/2023","1,306.00","1,306.00","1,306.00","1,306.00","","2.19%"
"20/02/2023","1,278.00","1,278.00","1,278.00","1,278.00","","1.35%"
"17/02/2023","1,261.00","1,261.00","1,261.00","1,261.00","","1.37%"
"16/02/2023","1,244.00","1,244.00","1,244.00","1,244.00","","2.64%"
"15/02/2023","1,212.00","1,212.00","1,212.00","1,212.00","","0.75%"
"14/02/2023","1,203.00","1,203.00","1,203.00","1,203.00","","-0.08%"
"13/02/2023","1,204.00","1,204.00","1,204.00","1,204.00","","-0.17%"
"10/02/2023","1,206.00","1,206.00","1,206.00","1,206.00","","0.08%"
"09/02/2023","1,205.00","1,205.00","1,205.00","1,205.00","","-0.66%"
"08/02/2023","1,213.00","1,213.00","1,213.00","1,213.00","","-0.41%"
"07/02/2023","1,218.00","1,218.00","1,218.00","1,218.00","","-0.49%"
"06/02/2023","1,224.00","1,224.00","1,224.00","1,224.00","","-1.21%"
"03/02/2023","1,239.00","1,239.00","1,239.00","1,239.00","","-1.35%"
"02/02/2023","1,256.00","1,256.00","1,256.00","1,256.00","","-0.32%"
"01/02/2023","1,260.00","1,260.00","1,260.00","1,260.00","","-1.18%"
"31/01/2023","1,275.00","1,275.00","1,275.00","1,275.00","","-2.07%"
"30/01/2023","1,302.00","1,302.00","1,302.00","1,302.00","","-1.59%"
"27/01/2023","1,323.00","1,323.00","1,323.00","1,323.00","","-0.97%"
"26/01/2023","1,336.00","1,336.00","1,336.00","1,336.00","","-1.26%"
"25/01/2023","1,353.00","1,353.00","1,353.00","1,353.00","","-2.24%"
"24/01/2023","1,384.00","1,384.00","1,384.00","1,384.00","","-1.91%"
"23/01/2023","1,411.00","1,411.00","1,411.00","1,411.00","","-0.28%"
"20/01/2023","1,415.00","1,415.00","1,415.00","1,415.00","","0.21%"
"19/01/2023","1,412.00","1,412.00","1,412.00","1,412.00","","-0.63%"
"18/01/2023","1,421.00","1,421.00","1,421.00","1,421.00","","-0.42%"
"17/01/2023","1,427.00","1,427.00","1,427.00","1,427.00","","-1.25%"
"16/01/2023","1,445.00","1,445.00","1,445.00","1,445.00","","0.00%"
"13/01/2023","1,445.00","1,445.00","1,445.00","1,445.00","","0.28%"
"12/01/2023","1,441.00","1,441.00","1,441.00","1,441.00","","0.98%"
"11/01/2023","1,427.00","1,427.00","1,427.00","1,427.00","","0.28%"
"10/01/2023","1,423.00","1,423.00","1,423.00","1,423.00","","2.23%"
"09/01/2023","1,392.00","1,392.00","1,392.00","1,392.00","","0.07%"
"06/01/2023","1,391.00","1,391.00","1,391.00","1,391.00","","-0.36%"
"05/01/2023","1,396.00","1,396.00","1,396.00","1,396.00","","-2.38%"
"04/01/2023","1,430.00","1,430.00","1,430.00","1,430.00","","-2.39%"
"03/01/2023","1,465.00","1,465.00","1,465.00","1,465.00","","-21.78%"
"23/12/2022","1,873.00","1,873.00","1,873.00","1,873.00","","-0.74%"
"22/12/2022","1,887.00","1,887.00","1,887.00","1,887.00","","-1.77%"
"21/12/2022","1,921.00","1,921.00","1,921.00","1,921.00","","-1.54%"
"20/12/2022","1,951.00","1,951.00","1,951.00","1,951.00","","-4.50%"
"19/12/2022","2,043.00","2,043.00","2,043.00","2,043.00","","-1.68%"
"16/12/2022","2,078.00","2,078.00","2,078.00","2,078.00","","-0.67%"
"15/12/2022","2,092.00","2,092.00","2,092.00","2,092.00","","0.63%"
"14/12/2022","2,079.00","2,079.00","2,079.00","2,079.00","","-0.34%"
"13/12/2022","2,086.00","2,086.00","2,086.00","2,086.00","","-0.95%"
"12/12/2022","2,106.00","2,106.00","2,106.00","2,106.00","","-0.19%"
"09/12/2022","2,110.00","2,110.00","2,110.00","2,110.00","","1.01%"
"08/12/2022","2,089.00","0.00","0.00","0.00","","-0.29%"
"07/12/2022","2,095.00","2,095.00","2,095.00","2,095.00","","-0.80%"
"06/12/2022","2,112.00","2,112.00","2,112.00","2,112.00","","-3.83%"
"05/12/2022","2,196.00","2,196.00","2,196.00","2,196.00","","-1.08%"
"02/12/2022","2,220.00","2,220.00","2,220.00","2,220.00","","-1.77%"
"01/12/2022","2,260.00","2,260.00","2,260.00","2,260.00","","-3.95%"
"30/11/2022","2,353.00","2,353.00","2,353.00","2,353.00","","-3.29%"
"29/11/2022","2,433.00","2,433.00","2,433.00","2,433.00","","-1.42%"
"28/11/2022","2,468.00","2,468.00","2,468.00","2,468.00","","-1.04%"
"25/11/2022","2,494.00","2,494.00","2,494.00","2,494.00","","0.28%"
"24/11/2022","2,487.00","2,487.00","2,487.00","2,487.00","","-0.32%"
"23/11/2022","2,495.00","2,495.00","2,495.00","2,495.00","","-0.04%"
"22/11/2022","2,496.00","2,496.00","2,496.00","2,496.00","","1.50%"
"21/11/2022","2,459.00","2,459.00","2,459.00","2,459.00","","3.97%"
"18/11/2022","2,365.00","2,365.00","2,365.00","2,365.00","","7.65%"
"17/11/2022","2,197.00","2,197.00","2,197.00","2,197.00","","8.07%"
"16/11/2022","2,033.00","2,033.00","2,033.00","2,033.00","","3.67%"
"15/11/2022","1,961.00","1,961.00","1,961.00","1,961.00","","2.89%"
"14/11/2022","1,906.00","1,906.00","1,906.00","1,906.00","","0.63%"
"11/11/2022","1,894.00","1,894.00","1,894.00","1,894.00","","0.48%"
"10/11/2022","1,885.00","1,885.00","1,885.00","1,885.00","","0.59%"
"09/11/2022","1,874.00","1,874.00","1,874.00","1,874.00","","0.92%"
"08/11/2022","1,857.00","1,857.00","1,857.00","1,857.00","","0.81%"
"07/11/2022","1,842.00","1,842.00","1,842.00","1,842.00","","0.33%"
"04/11/2022","1,836.00","1,836.00","1,836.00","1,836.00","","0.44%"
"03/11/2022","1,828.00","1,828.00","1,828.00","1,828.00","","0.49%"
"02/11/2022","1,819.00","1,819.00","1,819.00","1,819.00","","0.44%"
"01/11/2022","1,811.00","1,811.00","1,811.00","1,811.00","","-0.88%"
"31/10/2022","1,827.00","1,827.00","1,827.00","1,827.00","","0.22%"
"28/10/2022","1,823.00","1,823.00","1,823.00","1,823.00","","0.39%"
"27/10/2022","1,816.00","1,816.00","1,816.00","1,816.00","","0.67%"
"26/10/2022","1,804.00","1,804.00","1,804.00","1,804.00","","0.61%"
"25/10/2022","1,793.00","1,793.00","1,793.00","1,793.00","","0.11%"
"24/10/2022","1,791.00","1,791.00","1,791.00","1,791.00","","3.11%"
"21/10/2022","1,737.00","1,737.00","1,737.00","1,737.00","","0.70%"
"20/10/2022","1,725.00","1,725.00","1,725.00","1,725.00","","0.88%"
"19/10/2022","1,710.00","1,710.00","1,710.00","1,710.00","","1.00%"
"18/10/2022","1,693.00","1,693.00","1,693.00","1,693.00","","4.44%"
"17/10/2022","1,621.00","1,621.00","1,621.00","1,621.00","","4.31%"
"14/10/2022","1,554.00","1,554.00","1,554.00","1,554.00","","2.64%"
"13/10/2022","1,514.00","1,514.00","1,514.00","1,514.00","","2.23%"
"12/10/2022","1,481.00","1,481.00","1,481.00","1,481.00","","1.09%"
"11/10/2022","1,465.00","1,465.00","1,465.00","1,465.00","","0.41%"
"10/10/2022","1,459.00","1,459.00","1,459.00","1,459.00","","-0.14%"
"07/10/2022","1,461.00","1,461.00","1,461.00","1,461.00","","0.00%"
"06/10/2022","1,461.00","1,461.00","1,461.00","1,461.00","","0.27%"
"05/10/2022","1,457.00","1,457.00","1,457.00","1,457.00","","-0.34%"
"04/10/2022","1,462.00","1,462.00","1,462.00","1,462.00","","-0.95%"
"03/10/2022","1,476.00","1,476.00","1,476.00","1,476.00","","-0.07%"
"30/09/2022","1,477.00","1,477.00","1,477.00","1,477.00","","-0.47%"
"29/09/2022","1,484.00","1,484.00","1,484.00","1,484.00","","-0.87%"
"28/09/2022","1,497.00","1,497.00","1,497.00","1,497.00","","-0.60%"
"27/09/2022","1,506.00","1,506.00","1,506.00","1,506.00","","-0.07%"
"26/09/2022","1,507.00","1,507.00","1,507.00","1,507.00","","0.60%"
"23/09/2022","1,498.00","1,498.00","1,498.00","1,498.00","","0.07%"
"22/09/2022","1,497.00","1,497.00","1,497.00","1,497.00","","-0.27%"
"21/09/2022","1,501.00","1,501.00","1,501.00","1,501.00","","-0.46%"
"20/09/2022","1,508.00","1,508.00","1,508.00","1,508.00","","1.07%"
"16/09/2022","1,492.00","1,492.00","1,492.00","1,492.00","","1.91%"
"15/09/2022","1,464.00","1,464.00","1,464.00","1,464.00","","0.21%"
"14/09/2022","1,461.00","1,461.00","1,461.00","1,461.00","","0.41%"
"13/09/2022","1,455.00","1,455.00","1,455.00","1,455.00","","1.11%"
"12/09/2022","1,439.00","1,439.00","1,439.00","1,439.00","","0.49%"
"09/09/2022","1,432.00","1,432.00","1,432.00","1,432.00","","1.13%"
"08/09/2022","1,416.00","1,416.00","1,416.00","1,416.00","","-0.28%"
"07/09/2022","1,420.00","1,420.00","1,420.00","1,420.00","","-1.32%"
"06/09/2022","1,439.00","1,439.00","1,439.00","1,439.00","","-2.18%"
"05/09/2022","1,471.00","1,471.00","1,471.00","1,471.00","","-1.21%"
"02/09/2022","1,489.00","1,489.00","1,489.00","1,489.00","","-1.00%"
"01/09/2022","1,504.00","1,504.00","1,504.00","1,504.00","","-0.53%"
"31/08/2022","1,512.00","1,512.00","1,512.00","1,512.00","","-0.92%"
"30/08/2022","1,526.00","1,526.00","1,526.00","1,526.00","","-1.80%"
"26/08/2022","1,554.00","1,554.00","1,554.00","1,554.00","","0.26%"
"25/08/2022","1,550.00","1,550.00","1,550.00","1,550.00","","0.52%"
"24/08/2022","1,542.00","1,542.00","1,542.00","1,542.00","","-0.45%"
"23/08/2022","1,549.00","1,549.00","1,549.00","1,549.00","","0.06%"
"22/08/2022","1,548.00","1,548.00","1,548.00","1,548.00","","-0.39%"
"19/08/2022","1,554.00","0.00","0.00","0.00","","0.06%"
"18/08/2022","1,553.00","1,553.00","1,553.00","1,553.00","","0.39%"
"17/08/2022","1,547.00","1,547.00","1,547.00","1,547.00","","2.11%"
"16/08/2022","1,515.00","1,515.00","1,515.00","1,515.00","","1.81%"
"15/08/2022","1,488.00","1,488.00","1,488.00","1,488.00","","0.88%"
"12/08/2022","1,475.00","1,475.00","1,475.00","1,475.00","","0.41%"
"11/08/2022","1,469.00","1,469.00","1,469.00","1,469.00","","0.41%"
"10/08/2022","1,463.00","1,463.00","1,463.00","1,463.00","","0.55%"
"09/08/2022","1,455.00","1,455.00","1,455.00","1,455.00","","0.28%"
"08/08/2022","1,451.00","1,451.00","1,451.00","1,451.00","","0.21%"
"05/08/2022","1,448.00","1,448.00","1,448.00","1,448.00","","0.77%"
"04/08/2022","1,437.00","1,437.00","1,437.00","1,437.00","","-1.17%"
"03/08/2022","1,454.00","1,454.00","1,454.00","1,454.00","","-1.36%"
"02/08/2022","1,474.00","1,474.00","1,474.00","1,474.00","","0.14%"
"01/08/2022","1,472.00","1,472.00","1,472.00","1,472.00","","0.41%"
"29/07/2022","1,466.00","1,466.00","1,466.00","1,466.00","","1.66%"
"28/07/2022","1,442.00","1,442.00","1,442.00","1,442.00","","-0.28%"
"27/07/2022","1,446.00","1,446.00","1,446.00","1,446.00","","-1.50%"
"26/07/2022","1,468.00","1,468.00","1,468.00","1,468.00","","-1.01%"
"25/07/2022","1,483.00","1,483.00","1,483.00","1,483.00","","-0.13%"
"22/07/2022","1,485.00","1,485.00","1,485.00","1,485.00","","0.27%"
"21/07/2022","1,481.00","1,481.00","1,481.00","1,481.00","","0.95%"
"20/07/2022","1,467.00","1,467.00","1,467.00","1,467.00","","1.31%"
"19/07/2022","1,448.00","1,448.00","1,448.00","1,448.00","","2.48%"
"18/07/2022","1,413.00","1,413.00","1,413.00","1,413.00","","3.21%"
"15/07/2022","1,369.00","1,369.00","1,369.00","1,369.00","","0.00%"
"14/07/2022","1,369.00","1,369.00","1,369.00","1,369.00","","-0.65%"
"13/07/2022","1,378.00","1,378.00","1,378.00","1,378.00","","0.36%"
"12/07/2022","1,373.00","1,373.00","1,373.00","1,373.00","","0.73%"
"11/07/2022","1,363.00","1,363.00","1,363.00","1,363.00","","2.25%"
"08/07/2022","1,333.00","1,333.00","1,333.00","1,333.00","","3.65%"
"07/07/2022","1,286.00","1,286.00","1,286.00","1,286.00","","2.06%"
"06/07/2022","1,260.00","1,260.00","1,260.00","1,260.00","","2.77%"
"05/07/2022","1,226.00","1,226.00","1,226.00","1,226.00","","0.33%"
"04/07/2022","1,222.00","1,222.00","1,222.00","1,222.00","","-0.16%"
"01/07/2022","1,224.00","1,224.00","1,224.00","1,224.00","","-0.81%"
"30/06/2022","1,234.00","1,234.00","1,234.00","1,234.00","","0.73%"
"29/06/2022","1,225.00","1,225.00","1,225.00","1,225.00","","1.07%"
"28/06/2022","1,212.00","1,212.00","1,212.00","1,212.00","","-0.25%"
"27/06/2022","1,215.00","1,215.00","1,215.00","1,215.00","","-0.33%"
"24/06/2022","1,219.00","1,219.00","1,219.00","1,219.00","","-0.25%"
"23/06/2022","1,222.00","1,222.00","1,222.00","1,222.00","","0.66%"
"22/06/2022","1,214.00","1,214.00","1,214.00","1,214.00","","0.58%"
"21/06/2022","1,207.00","1,207.00","1,207.00","1,207.00","","0.25%"
"20/06/2022","1,204.00","1,204.00","1,204.00","1,204.00","","-0.08%"
"17/06/2022","1,205.00","1,205.00","1,205.00","1,205.00","","0.50%"
"16/06/2022","1,199.00","1,199.00","1,199.00","1,199.00","","2.65%"
"15/06/2022","1,168.00","1,168.00","1,168.00","1,168.00","","1.83%"
"14/06/2022","1,147.00","1,147.00","1,147.00","1,147.00","","1.33%"
"13/06/2022","1,132.00","1,132.00","1,132.00","1,132.00","","0.53%"
"10/06/2022","1,126.00","1,126.00","1,126.00","1,126.00","","3.02%"
"09/06/2022","1,093.00","1,093.00","1,093.00","1,093.00","","0.28%"
"08/06/2022","1,090.00","1,090.00","1,090.00","1,090.00","","0.09%"
"07/06/2022","1,089.00","1,089.00","1,089.00","1,089.00","","0.09%"
"06/06/2022","1,088.00","1,088.00","1,088.00","1,088.00","","-1.45%"
"01/06/2022","1,104.00","1,104.00","1,104.00","1,104.00","","-1.34%"
"31/05/2022","1,119.00","1,119.00","1,119.00","1,119.00","","-0.18%"
"30/05/2022","1,121.00","1,121.00","1,121.00","1,121.00","","-0.62%"
"27/05/2022","1,128.00","1,128.00","1,128.00","1,128.00","","0.18%"
"26/05/2022","1,126.00","1,126.00","1,126.00","1,126.00","","0.36%"
"25/05/2022","1,122.00","1,122.00","1,122.00","1,122.00","","0.27%"
"24/05/2022","1,119.00","1,119.00","1,119.00","1,119.00","","0.45%"
"23/05/2022","1,114.00","1,114.00","1,114.00","1,114.00","","0.27%"
"20/05/2022","1,111.00","1,111.00","1,111.00","1,111.00","","0.91%"
"19/05/2022","1,101.00","1,101.00","1,101.00","1,101.00","","1.66%"
"18/05/2022","1,083.00","1,083.00","1,083.00","1,083.00","","-2.43%"
"17/05/2022","1,110.00","1,110.00","1,110.00","1,110.00","","-1.33%"
"16/05/2022","1,125.00","1,125.00","1,125.00","1,125.00","","-0.71%"
"13/05/2022","1,133.00","1,133.00","1,133.00","1,133.00","","-0.61%"
"12/05/2022","1,140.00","1,140.00","1,140.00","1,140.00","","-1.30%"
"11/05/2022","1,155.00","1,155.00","1,155.00","1,155.00","","-1.03%"
"10/05/2022","1,167.00","1,167.00","1,167.00","1,167.00","","0.60%"
"09/05/2022","1,160.00","1,160.00","1,160.00","1,160.00","","-0.17%"
"06/05/2022","1,162.00","1,162.00","1,162.00","1,162.00","","-1.69%"
"05/05/2022","1,182.00","1,182.00","1,182.00","1,182.00","","-3.59%"
"04/05/2022","1,226.00","1,226.00","1,226.00","1,226.00","","-0.57%"
"03/05/2022","1,233.00","1,233.00","1,233.00","1,233.00","","-1.60%"
"29/04/2022","1,253.00","1,253.00","1,253.00","1,253.00","","0.64%"
"28/04/2022","1,245.00","1,245.00","1,245.00","1,245.00","","0.89%"
"27/04/2022","1,234.00","1,234.00","1,234.00","1,234.00","","-4.78%"
"26/04/2022","1,296.00","1,296.00","1,296.00","1,296.00","","-6.22%"
"25/04/2022","1,382.00","1,382.00","1,382.00","1,382.00","","-5.67%"
"22/04/2022","1,465.00","1,465.00","1,465.00","1,465.00","","-3.49%"
"21/04/2022","1,518.00","1,518.00","1,518.00","1,518.00","","-4.47%"
"20/04/2022","1,589.00","1,589.00","1,589.00","1,589.00","","-5.42%"
"19/04/2022","1,680.00","1,680.00","1,680.00","1,680.00","","-1.98%"
"14/04/2022","1,714.00","1,714.00","1,714.00","1,714.00","","-0.81%"
"13/04/2022","1,728.00","1,728.00","1,728.00","1,728.00","","-0.92%"
"12/04/2022","1,744.00","1,744.00","1,744.00","1,744.00","","0.81%"
"11/04/2022","1,730.00","1,730.00","1,730.00","1,730.00","","3.16%"
"08/04/2022","1,677.00","1,677.00","1,677.00","1,677.00","","1.45%"
"07/04/2022","1,653.00","1,653.00","1,653.00","1,653.00","","6.85%"
"06/04/2022","1,547.00","1,547.00","1,547.00","1,547.00","","5.31%"
"05/04/2022","1,469.00","1,469.00","1,469.00","1,469.00","","7.30%"
"04/04/2022","1,369.00","1,369.00","1,369.00","1,369.00","","3.63%"
